time,latitude,longitude,depth,magnitude,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-06-01T03:55:58.795Z,31.60049045,-104.2495445,7.082763672,3.1,ml,17,71,0.179315128,0.3,tx,tx2021kqet,2021-06-01T04:14:43.002Z,"53 km NW of Toyah, Texas",earthquake,1.232647247,2.097110207,0.2,10,reviewed,tx,tx
2021-06-01T03:54:57.510Z,19.1831665,-155.4843292,35.25999832,2.03999996,md,42,79,,0.109999999,hv,hv72498652,2021-06-01T03:58:02.910Z,"2 km SSW of Pāhala, Hawaii",earthquake,0.56,0.899999976,0.99000001,16,automatic,hv,hv
2021-06-01T03:52:26.610Z,19.17766762,-155.4530029,36.25999832,1.99000001,md,41,204,,0.109999999,hv,hv72498647,2021-06-01T03:55:40.790Z,"3 km SE of Pāhala, Hawaii",earthquake,0.65,0.930000007,0.839999974,7,automatic,hv,hv
2021-06-01T03:44:58.050Z,37.5035019,-118.8281631,5.6,1.5,md,20,165,0.08638,0.02,nc,nc73568386,2021-06-01T04:59:14.630Z,"15km WSW of Toms Place, CA",earthquake,0.56,1.27,0.14,17,automatic,nc,nc
2021-06-01T03:31:51.833Z,62.4716,-148.1982,35.6,1.8,ml,,,,0.67,ak,ak0216zfnt2o,2021-06-01T03:35:21.008Z,Central Alaska,earthquake,,1.3,,,automatic,ak,ak
2021-06-01T03:05:40.494Z,62.4629,-148.2948,33.8,1.8,ml,,,,0.63,ak,ak0216zfi7kt,2021-06-01T03:10:08.018Z,"74 km N of Chickaloon, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-06-01T02:50:03.700Z,38.8414993,-122.8123322,2.81,0.86,md,8,65,0.01571,0.02,nc,nc73568371,2021-06-01T04:31:12.448Z,"8km WNW of Cobb, CA",earthquake,0.65,2.62,,1,automatic,nc,nc
2021-06-01T02:48:44.342Z,-30.5703,-67.7068,37.77,4.8,mb,,79,1.284,0.49,us,us6000eggq,2021-06-01T03:41:31.283Z,"23 km WNW of San Agustín de Valle Fértil, Argentina",earthquake,6.6,5.6,0.089,39,reviewed,us,us
2021-06-01T02:48:15.729Z,62.4486,-148.2555,37.4,1.7,ml,,,,0.54,ak,ak0216zf5xus,2021-06-01T02:51:15.554Z,"73 km N of Chickaloon, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-06-01T02:46:08.810Z,19.26066589,-155.3983307,31.46999931,2.25,ml,47,94,,0.140000001,hv,hv72498562,2021-06-01T02:51:40.180Z,"10 km NE of Pāhala, Hawaii",earthquake,0.56,0.639999986,2.26,15,automatic,hv,hv
2021-06-01T02:45:58.600Z,36.1136667,-117.8356667,1.71,1.08,ml,15,82,0.01602,0.18,ci,ci39912080,2021-06-01T02:49:31.388Z,"13km NE of Coso Junction, CA",earthquake,0.57,0.27,0.219,15,automatic,ci,ci
2021-06-01T02:45:56.180Z,38.840332,-122.8235016,1.4,0.37,md,9,131,0.009521,0.01,nc,nc73568366,2021-06-01T04:05:14.278Z,"9km WNW of Cobb, CA",earthquake,0.39,0.68,,1,automatic,nc,nc
2021-06-01T02:43:34.850Z,19.14133263,-155.4603271,35.88000107,1.88,md,39,183,,0.140000001,hv,hv72498557,2021-06-01T02:46:56.190Z,"7 km SSE of Pāhala, Hawaii",earthquake,0.55,0.75999999,1.91999996,4,automatic,hv,hv
2021-06-01T02:41:54.590Z,33.6435,-116.7468333,15.78,0.44,ml,24,67,0.05173,0.16,ci,ci39912072,2021-06-01T02:45:31.059Z,"11km SSW of Idyllwild, CA",earthquake,0.33,0.51,0.139,12,automatic,ci,ci
